-210,260
-34.8157039334,315.511985928,73.7014794833
-34.6777351599,315.983319335,73.6668894834
-34.541794432,316.44644538,73.6161679832
-34.4031240121,316.917572833,73.5815779831
-34.2620785488,317.396458526,73.596018983
-34.1209221267,317.875658961,73.577560483
-33.9847136954,318.338011536,73.5926379833
-33.8486269378,318.800399939,73.6077154832
-33.7052519557,319.287752089,73.6053884834
-33.5664929014,319.758853445,73.5707984829
-33.4300028637,320.221470449,73.5529764833
-33.2908129219,320.692444677,73.5183864834
-33.1462091292,321.180128871,73.450260483
-33.0061750807,321.650852811,73.4156704832
-32.8632782845,322.12988493,73.3643124833
-32.7201851156,322.608510606,73.3458539833
-32.5769377593,323.087090159,73.3273954833
-32.4314153844,323.573457552,73.3579679834
-32.2932078585,324.035564361,73.3401459831
-32.1499128252,324.51412964,73.3216874831
-32.0038712638,325.001037306,73.2864609833
-31.8601278873,325.479468111,73.2680024833
-31.7211949346,325.941357337,73.2501804833
-31.5745458105,326.42808236,73.2149539834
-31.4254636984,326.922547748,73.2287584831
-31.281238568,327.400833546,73.2102999831
-31.1292668955,327.903945813,73.1744369833
-30.9893507076,328.365886367,73.1237154833
-30.8466361578,328.835804573,73.0891254832
-30.698382719,329.322391716,73.0209994834
-30.5524242386,329.800151399,73.0025409834
-30.4089484424,330.269489264,73.0008504833
-30.2652265295,330.739100352,72.9662604834
-30.1214535707,331.208347272,72.9645699833
-29.9723800305,331.694335227,72.9293434831
-29.8232450683,332.179955724,72.9270164833
-29.6765031093,332.657475347,72.9085579833
-29.5373231225,333.110112704,72.9075039834
-29.3928363086,333.579489018,72.8729139836
-29.242985525,334.065237878,72.8376874835
-29.1005875441,334.526070644,72.8198654835
-28.9553829507,334.995225404,72.7852754833
-28.812332445,335.456204978,72.7345539834
-28.6713206369,335.908973151,72.6677009833
-28.527556075,336.36938142,72.6498789836
-28.3782696891,336.84646091,72.5985209834
-28.2366424559,337.298338518,72.5974669835
-28.1001615245,337.733776679,72.5970494833
-27.9609865278,338.177571285,72.5798639833
-27.8113540105,338.654193046,72.5614054833
-27.6640345548,339.12268802,72.5268154835
-27.5216120711,339.574665042,72.4928619834
-27.3737322558,340.042983441,72.4582719836
-27.2309993389,340.49451302,72.4572179837
-27.0855443852,340.954390046,72.4393959834
-26.9426627203,341.405872577,72.4383419835
-26.7891320171,341.890470902,72.4031154834
-26.6407539737,342.358282072,72.4014249832
-26.4871509387,342.842507858,72.3990979834
-26.3385049232,343.310583627,72.3645079836
-26.1923060356,343.770224692,72.3466859836
-26.0382404533,344.254303508,72.3443589834
-25.883915064,344.738649342,72.3091324836
-25.7292919193,345.222900203,72.2739059834
-25.5718662338,345.715122709,72.2548109838
-25.4167840457,346.199226756,72.2195844836
-25.2643957816,346.674624638,72.2340254836
-25.1066275247,347.166737449,72.2149304833
-24.9592291886,347.625995278,72.1971084836
-24.8089339544,348.093544105,72.1625184835
-24.6558336991,348.5690633,72.1440599835
-24.4917571634,349.077592449,72.0914289835
-24.3327646366,349.569311087,72.0723339835
-24.1869935277,350.019868996,72.0712799833
-24.0331362443,350.49514379,72.0528214837
-23.8765899059,350.978426055,72.0504944835
-23.7253355947,351.445315194,72.0488039836
-23.5687553697,351.928586482,72.0464769835
-23.4144530633,352.404067358,71.9951189835
