210,260
274.969679408,258.380839149,-2.86210749949
275.434201468,258.357545626,-2.87929299948
275.907481571,258.333601182,-2.91324649961
276.836795708,258.285761773,-2.98051699924
277.292830333,258.261884553,-3.01383399906
277.766052906,258.236828828,-3.04778749919
278.24769853,258.211108892,-3.0656094995
278.711809274,258.186316758,-3.04989549923
279.158725067,258.162568564,-3.03354499927
279.614085659,258.138566222,-3.00106299918
280.078224037,258.114296948,-2.98534899922
280.542694919,258.090004306,-3.00253449922
281.015596765,258.065195232,-3.00358849939
281.462857683,258.041662421,-3.02013749939
281.918875688,258.017469856,-3.05345449952
282.392080821,257.992086899,-3.08740799902
282.848070108,257.967358944,-3.12072499947
283.321245113,257.941420419,-3.15467849928
283.794404664,257.915201495,-3.18863199941
284.276310597,257.88814071,-3.23935349905
284.749105861,257.861377222,-3.24040749922
285.230662297,257.834038212,-3.25822949922
285.712210207,257.806549414,-3.27605149922
286.185313155,257.779328228,-3.31000499903
286.993897891,257.732119125,-3.37281999929
287.46695419,257.704098941,-3.40677349911
287.9399938,257.675798428,-3.44072699925
288.42145171,257.646775955,-3.45854899923
288.903224815,257.617445248,-3.50927049918
289.38464766,257.587846823,-3.52709249918
289.849192455,257.559009739,-3.57717749914
290.3218217,257.529459065,-3.57823149931
290.803532486,257.49912207,-3.62895299926
291.310517652,257.466957715,-3.63127999912
291.800310153,257.435866864,-3.63297049929
292.281667975,257.40522913,-3.65079249929
292.780207075,257.373339348,-3.66925099929
293.245002808,257.343194839,-3.75223549919
293.700998363,257.313024804,-3.81845199928
294.191009796,257.280171199,-3.8530419991
294.681001304,257.247021776,-3.88763199891
295.170649797,257.213739821,-3.88932249909
295.643111039,257.181614733,-3.89037649895
296.115571689,257.149480955,-3.89143049912
296.596786407,257.116672145,-3.90925249912
297.069559637,257.084224258,-3.94320599925
297.576360765,257.049279715,-3.94553299912
298.057544288,257.016016524,-3.96335499912
298.547471065,256.981923771,-3.99794499924
299.028623959,256.948220426,-4.01576699892
299.509766347,256.914367419,-4.03358899892
299.999328467,256.879838227,-4.0352794991
300.497642346,256.84460371,-4.05373799909
301.004697205,256.808512394,-4.08896449922
301.486118433,256.773882705,-4.13968599917
301.976260093,256.738117458,-4.20717549895
302.440107371,256.703926298,-4.22436099894
302.921123323,256.668321847,-4.24218299925
303.410556491,256.632010563,-4.2438734988
303.908738791,256.594962095,-4.26233199911
304.389408984,256.559201696,-4.24725449915
305.334535192,256.488449029,-4.31516149909
305.841098788,256.450215169,-4.31748849895
306.338911549,256.41269472,-4.303047499
306.819556208,256.376592756,-4.28796999904
307.308960202,256.339890361,-4.28966049921
307.781185447,256.304464896,-4.29071449907
308.288086695,256.266276706,-4.3259409992
308.777787914,256.229084242,-4.36053099902
309.241542016,256.193651691,-4.37771649902
309.722782609,256.156596246,-4.42843799896
310.203668694,256.119278735,-4.44625999896
310.69329073,256.081058,-4.48084999909
311.199741642,256.041359416,-4.48317699895
311.680591855,256.003582495,-4.50099899895
312.144257696,255.967013099,-4.51818449894
312.633510269,255.928344579,-4.51987499912
313.131187391,255.889065939,-4.50543399884
313.611701529,255.851266417,-4.4903564992
314.100972825,255.812835527,-4.49204699875
315.071701153,255.735845933,-4.57735849914
315.561234454,255.696504995,-4.61194849896
316.024828611,255.659037809,-4.62913399896
316.497156851,255.620652573,-4.66308749909
316.986310066,255.580746842,-4.66477799864
317.491990187,255.539767263,-4.60130599922
318.029496542,255.498044043,-4.2759109989
