210,260
283.324230845,258.106068227,-2.00300942057
283.797644636,258.089071858,-2.05613382055
284.279674634,258.072010024,-2.02718322056
284.752930251,258.055253924,-2.02835433186
285.234954002,258.038016507,-2.04805373185
285.716973761,258.020667836,-2.06127813185
286.190386024,258.003628962,-2.06127813185
286.999463181,257.97375532,-2.11457753182
287.472849081,257.955999076,-2.14810193181
287.94622934,257.938093086,-2.1662263318
288.428207289,257.919619266,-2.19502573179
288.910176119,257.900909074,-2.22312513177
289.392147997,257.882277539,-2.21377453178
289.856900554,257.864155882,-2.23294893177
290.330092943,257.845700295,-2.23412004307
290.812051334,257.826723075,-2.25486944306
291.319661966,257.80672432,-2.25745499846
291.810059061,257.787384608,-2.25933333199
292.292026606,257.768641335,-2.227057732
292.791215851,257.749450396,-2.20160713202
293.255970262,257.731376333,-2.227081532
293.712086673,257.712846252,-2.32640593196
294.20258971,257.692020891,-2.43115533191
294.693086263,257.671043367,-2.4489297319
295.183415989,257.650064926,-2.45080806543
295.656534783,257.62981023,-2.45197917639
296.129653162,257.609545863,-2.45315028769
296.611542993,257.588900868,-2.45315028769
297.084843141,257.568989447,-2.40897468771
297.592398148,257.547625475,-2.41156024311
298.074291383,257.527060092,-2.4436846431
298.564797901,257.506316884,-2.42155904311
299.046699041,257.485937593,-2.42155904311
299.528603439,257.465635475,-2.41238344311
300.018946447,257.444969797,-2.41426177664
300.518053049,257.423737868,-2.43588617663
301.025780401,257.402506517,-2.39451057665
301.507665079,257.381741591,-2.46740997662
301.998143567,257.360345841,-2.4977843766
302.462791874,257.339723412,-2.54128377658
302.944631607,257.31794046,-2.58845817656
303.434908792,257.295768016,-2.59033650939
303.933990405,257.273956602,-2.50241090943
304.415881745,257.253346847,-2.44896030946
305.362454018,257.212863401,-2.44896030946
305.869993992,257.19114522,-2.45154586486
306.369100396,257.16990864,-2.43642026487
306.851013559,257.149815649,-2.38751966489
307.341365488,257.129362759,-2.38939799842
307.814505719,257.109615167,-2.39056910938
308.322227148,257.088242626,-2.41044350937
308.812725068,257.067297092,-2.44519290935
309.277387533,257.046996147,-2.50164230932
309.759237492,257.025440608,-2.5614167093
310.241098998,257.004144731,-2.53054110931
310.731555955,256.982260993,-2.5547905093
311.239054947,256.95960538,-2.5573760647
311.72090908,256.938143328,-2.5503004647
312.185572869,256.917872733,-2.49789986473
312.675884486,256.89647522,-2.49977819826
313.174974753,256.874862699,-2.47957759827
313.656882521,256.854640749,-2.4028519983
314.14722896,256.834056642,-2.40473033113
315.119624847,256.79265673,-2.43790473112
315.610101935,256.771228923,-2.50152913109
316.074739702,256.750370346,-2.57040353106
316.547981871,256.7291255,-2.57040353106
317.038266019,256.707107549,-2.57228186389
317.545938782,256.684608664,-2.5375562639
318.08808514,256.661861775,-2.40255566397
318.595996964,256.645631752,-1.83023006423
319.129926851,256.636366228,-0.994179464609
319.672537398,256.632639554,-0.393503864883
320.206547674,256.632652339,0.0013717349366
320.749148763,256.637566759,0.5189223347
321.274447506,256.647738058,1.10927293443
321.78237222,256.663559575,1.78414853412
322.298669722,256.685981302,2.4866741338
322.874821151,256.718627941,3.24309973346
323.442018667,256.756531103,3.82312533319
324.000202222,256.799688513,4.42117593292
324.540631227,256.848438728,5.15450153258
325.080364939,256.904363806,5.91565213224
325.636607047,256.967815832,6.50775273197
326.183514982,257.036759974,7.18490333166
326.746681063,257.114178559,7.82740393136
327.317538568,257.198665131,8.41862953109
328.398068561,257.368912315,8.95385513085
328.99244683,257.470010101,9.65305573053
329.551734775,257.571728666,10.3078063302
330.126644602,257.683576474,11.0092819299
330.69182351,257.800148654,11.6542325296
331.280889226,257.928631611,12.3042581293
331.876706384,258.066356996,13.015533729
332.470942137,258.210753112,13.6578593287
333.063459006,258.362047949,14.3239849284
333.645969666,258.517571643,14.9486355281
334.226652691,258.679786049,15.6077611278
334.788821489,258.844095159,16.2924367275
335.357341455,259.017241419,16.9384373272
335.924001857,259.196379824,17.5433129269
336.488731625,259.381514558,18.1506385266
337.05144629,259.572686694,18.7642641264
337.595657104,259.764652475,19.4298647261
338.145605661,259.966116679,20.1194403258
338.685144265,260.170846664,20.7794409254
339.254314794,260.394478673,21.4502915251
339.781067906,260.608209419,22.0849171249
340.305250249,260.828169742,22.7641677245
340.811023486,261.047384286,23.4330933242
341.322006499,261.276136998,24.1167189239
341.814426367,261.50409043,24.8405945236
342.312158764,261.740995568,25.4529951233
342.823192465,261.989981969,25.9763207231
343.331674013,262.244139772,26.5575713228
343.844716481,262.508343665,27.2473219225
344.377865344,262.789872666,27.8362725222
344.90061084,263.072594661,28.406323122
345.413148191,263.356031962,28.9429487217
345.937932745,263.652860973,29.4933993215
346.459743679,263.954886862,30.0623999212
346.978418783,264.262266798,30.6520505209
347.486542828,264.570494855,31.2410011207
348.006033495,264.893133684,31.8430767204
348.508021258,265.211257662,32.3636023202
349.006887213,265.534255092,32.9215779199
349.502835235,265.861715224,33.4356285197
350.010558908,266.202571558,33.8751291195
350.956959776,266.848004048,34.2934547193
351.466477697,267.201509783,34.7530803191
351.987997575,267.567916443,35.0909059189
352.513835026,267.943130192,35.5099315187
353.050644354,268.332589247,35.9611571185
353.56390226,268.710482281,36.3628577183
354.067411954,269.087058467,36.7929083181
354.59502928,269.488882517,37.2922589179
355.098466611,269.87976316,37.8266095177
355.611405056,270.286440504,38.4087351174
356.099908435,270.682289067,39.0188607171
356.597536994,271.094182499,39.6149863168
357.084196473,271.505764053,40.2221369166
357.560071869,271.916707166,40.8123125163
358.025631794,272.326376268,41.3461381161
358.48682069,272.740959937,41.9538137158
358.943232923,273.160796441,42.6097893155
359.338474138,273.532581965,43.2484399152
359.767301078,273.944045251,43.8162155149
360.174366294,274.340841902,44.2681411147
360.578869,274.740250506,44.6369417146
360.979624288,275.143419046,45.1719923143
361.394079785,275.569354746,45.782642914
361.816357401,276.011675876,46.3280185138
362.245109682,276.471570556,47.0070941135
362.668472135,276.936431685,47.6749697132
363.0748761,277.393380462,48.3505453129
363.487617471,277.867697019,48.9708209126
363.895221808,278.346435298,49.5884715123
364.296760169,278.830272646,50.310597112
364.703835842,279.331849937,50.9375227117
365.099741338,279.831345345,51.5992733114
365.473579661,280.31529914,52.315098911
365.836658552,280.796630634,52.9719495107
366.200107419,281.288434751,53.5351751105
366.564001935,281.790585722,54.0702257102
367.273185715,282.787041359,54.56030131
367.652670625,283.330947429,55.0964019098
368.021948421,283.87143445,55.6578775095
368.381377169,284.408185191,56.1922281093
368.735322515,284.948567533,56.775578709
369.083297402,285.492813672,57.4063543087
369.466122634,286.106730521,58.0532299084
369.815484665,286.680566254,58.6661555081
370.144746529,287.236333299,59.3555561078
370.458065375,287.78145983,60.1112817075
370.773173602,288.345372224,60.8040073072
371.074163561,288.897401825,61.3989079069
371.364737317,289.445253729,62.0590835066
371.641186936,289.981053969,62.7082341063
371.899824431,290.496924997,63.372609706
372.141601693,290.992309028,63.9848353057
372.393870469,291.520884194,64.4866359055
372.637844338,292.043849798,64.9900115053
372.870064264,292.553266473,65.493912105
373.122697101,293.119615717,65.9596627048
373.349444589,293.640898029,66.4919133046
373.578844424,294.179792227,66.9412139044
373.810351693,294.736488439,67.4195645042
374.037878686,295.294823246,67.828615104
374.260284584,295.855217665,68.3531657037
374.47732742,296.417710951,68.9004663035
374.692217461,296.990239236,69.4271169032
374.896449494,297.548346625,69.900567503
375.098385001,298.116438465,70.4315931028
375.289130196,298.670196094,70.9934187025
375.473604591,299.226074173,71.6409943022
375.652520634,299.783766104,72.212969902
375.834875772,300.367472341,72.6507205018
376.012619463,300.952599291,73.1028211016
376.183547795,301.530777286,73.5305967014
376.354354123,302.126931641,74.0122723011
376.521492102,302.733064078,74.5840729009
376.68296814,303.340729385,75.1185985006
376.835674014,303.941774918,75.7446491003
376.981619407,304.544497705,76.3881997001
377.120573631,305.148870554,77.0518752998
377.258364649,305.77998387,77.6838758995
377.387331182,306.395369333,78.1638014992
377.517531351,307.028092258,78.3721270991
377.647979972,307.660764005,78.3496276992
377.774556335,308.267849864,78.2226532992
377.898886548,308.857806038,78.0993538993
378.02504253,309.447374488,77.9219794994
378.145166894,310.003000089,77.8006050994
378.270089629,310.575211196,77.6846556995
378.391490097,311.130559374,77.6689812995
378.51472101,311.694153305,77.6635668548
378.636537877,312.249410293,77.6260174548
378.753273387,312.779328131,77.5767430549
378.866281899,313.292257199,77.5734502772
378.977345095,313.796965839,77.5896258772
379.096041987,314.335271172,77.5652014772
379.210901488,314.856782696,77.5792770772
379.323763554,315.369914627,77.5954526772
379.435362023,315.87450518,77.5288532773
379.545100518,316.370685891,77.5288532773
379.658537713,316.883520324,77.5255604993
379.77172254,317.396581158,77.5594110993
379.882904777,317.901263588,77.5761116993
379.992209321,318.397369444,77.5735261435
380.129270092,319.019825201,77.5820017435
380.257065164,319.600053573,77.5758800767
380.3700814,320.112980939,77.572587299
380.490324597,320.659765189,77.597512899
380.601084859,321.164540396,77.624013499
380.709689165,321.660970592,77.659789099
380.812573423,322.132201803,77.683839699
380.92130833,322.628603409,77.644715299
381.026431378,323.108161612,77.635865899
381.13009085,323.579222902,77.589566499
