-265,-285
-167.280234983,-287.6895397,-2.41363948825
-166.712303869,-287.714114532,-2.47768843822
-166.170225821,-287.738434957,-2.56886238818
-165.645368897,-287.762255824,-2.59861133817
-165.120517515,-287.786198514,-2.61191028816
-164.612898047,-287.809869396,-2.66983423813
-164.096681718,-287.834088102,-2.68610818813
-163.589095486,-287.858461289,-2.7491071381
-163.055745102,-287.885000736,-2.84868108805
-162.539646039,-287.911601531,-2.95053003801
-162.032179982,-287.938360376,-3.01842898798
-161.507530052,-287.966372427,-3.05622793796
-161.000122279,-287.994214618,-3.14075188792
-160.501314639,-288.021584908,-3.14075188792
-159.959485319,-288.050929105,-3.09997583794
-159.417823415,-288.0802832,-3.10397583778
-158.901814979,-288.108587592,-3.13967478777
-158.385788237,-288.136556269,-3.10239873778
-157.878393603,-288.164636866,-3.16767268775
-157.362441658,-288.193953004,-3.25202163771
-156.846467037,-288.222867273,-3.20739558773
-156.322060058,-288.252269193,-3.21068836535
-155.823322849,-288.280894214,-3.28488731532
-155.298747108,-288.310262835,-3.20438626535
-154.774338585,-288.339637211,-3.20767904298
-154.258380617,-288.368847147,-3.24022799297
-153.742397242,-288.397604777,-3.19000194299
-153.235025118,-288.426089214,-3.21327589298
-152.745018874,-288.453606768,-3.21515422651
-152.246247196,-288.481624769,-3.21515422651
-151.730276495,-288.510608908,-3.21515422651
-151.222936418,-288.539658537,-3.27710317648
-150.724204158,-288.568369645,-3.29477712647
-150.216873066,-288.597575772,-3.29477712647
-149.71812988,-288.626096457,-3.27290107648
-149.210954691,-288.655110808,-3.27548663188
-148.686583024,-288.685135918,-3.27877940951
-148.170650252,-288.714787549,-3.28927835951
-147.680493515,-288.742595797,-3.24710230953
-147.155871014,-288.771116941,-3.11182625959
-146.631415722,-288.799644109,-3.11511903756
-146.10696207,-288.828201417,-3.11841181519
-145.599710492,-288.855848144,-3.12099737059
-145.092460163,-288.883517762,-3.12358292633
-144.576443798,-288.911677229,-3.12358292633
-144.060386368,-288.939073833,-3.03888187637
-143.544317934,-288.966262365,-3.01578082638
-143.028264022,-288.99372515,-3.04622977637
-142.520797708,-289.020479122,-3.01787872638
-141.979094299,-289.049057058,-3.02187872658
-141.445826578,-289.077208629,-3.02187872658
-140.938362132,-289.103998028,-3.02187872658
-140.422310726,-289.131507855,-3.05145267657
-139.906272146,-289.15925725,-3.07805162656
-139.364599049,-289.188404076,-3.0820516264
-138.831327278,-289.216478833,-3.01362557643
-138.29806109,-289.244659451,-3.02499952643
-137.799250072,-289.271968117,-3.13367347638
-137.291880658,-289.300500784,-3.21872242634
-136.758723548,-289.330674784,-3.23919637633
-136.234144304,-289.359980773,-3.19754532635
-135.700961129,-289.389690638,-3.18931927635
-135.1765449,-289.41892711,-3.19261205397
-134.677783195,-289.447122102,-3.23548600395
-134.170457213,-289.476416843,-3.30478495391
-133.628723395,-289.507474287,-3.28115890393
-133.104207986,-289.53790143,-3.32000785391
-132.588310771,-289.568165392,-3.35728180389
-132.063846928,-289.59946879,-3.41573075386
-131.530812131,-289.631731448,-3.46367970384
-131.023562133,-289.662313705,-3.45020365385
-130.50772506,-289.693586031,-3.46927760384
-129.991902752,-289.725100977,-3.49622655383
-129.467508023,-289.757541589,-3.53997550381
-128.934536697,-289.790836329,-3.57462445379
-128.393019346,-289.825463668,-3.65879840375
-127.885955463,-289.85899057,-3.7828723537
-127.378884218,-289.892405952,-3.7702713037
-126.85461191,-289.926768301,-3.74997025371
-126.313317863,-289.962265281,-3.75397025356
-125.780471806,-289.997508071,-3.78406920354
-125.273430031,-290.031367686,-3.82046815353
-124.757827375,-290.066292543,-3.8750671035
-124.242224718,-290.101217399,-3.8750671035
-123.709454561,-290.137589555,-3.90551605349
-123.202630634,-290.172201853,-3.90810160889
-122.661237981,-290.208727046,-3.85962555891
-122.137026248,-290.244001435,-3.84964950891
-121.595794775,-290.280440067,-3.8536495091
-121.063031249,-290.316909229,-3.91594845907
-120.538812505,-290.352079298,-3.83824740911
-120.014761034,-290.38725327,-3.84154018708
-119.490497796,-290.421753732,-3.76506413711
-118.983401612,-290.454788479,-3.72726308713
-118.467718491,-290.488504409,-3.74073703712
-117.943450619,-290.522934386,-3.75736098712
-117.427763896,-290.556595169,-3.73460993713
-116.9120705,-290.590153563,-3.72323388713
-116.404980881,-290.623288938,-3.73863283713
-115.872059271,-290.657370203,-3.65918178716
-115.347727852,-290.690818483,-3.65008073717
-114.831940721,-290.72290399,-3.55960468721
-114.316094514,-290.754025297,-3.45250363726
-113.77462347,-290.786711536,-3.45650363746
-113.23315471,-290.819435577,-3.4605036373
-112.158087507,-290.877491231,-3.09107758747
-111.581524893,-290.901818679,-2.41610153778
-110.996098734,-290.919353007,-1.7155754881
-110.393269388,-290.929505229,-0.964824438438
-109.773131905,-290.931583591,-0.19202338879
-109.178860955,-290.925532338,0.583402660856
-108.567500934,-290.911204338,1.34255371051
-107.982228452,-290.889128044,2.16015476014
-107.397368846,-290.857975472,3.04898080973
-106.812924141,-290.81982279,3.73498185942
-106.211770874,-290.773768064,4.38090790912
-105.611214533,-290.720491703,5.06953395881
-105.011302093,-290.660397171,5.72036000851
-104.403641992,-290.591727164,6.44748605818
-103.779755765,-290.513639964,7.13418710786
-103.148255962,-290.427356577,7.78028815757
-102.534852544,-290.336191548,8.45351420726
-101.905575901,-290.23496047,9.13881525695
-101.286037551,-290.127704383,9.82184130664
-100.667864907,-290.012838298,10.5263923563
-100.025799655,-289.885384294,11.227618406
-99.2753405011,-289.729082977,11.7650444557
-98.60046654,-289.590054704,11.6404455058
-97.9412781077,-289.460394038,11.127871556
-97.2974202095,-289.34232915,10.3909476064
-96.6770994391,-289.239694958,9.39467365683
-96.0806602464,-289.151566767,8.40504970728
-95.4572817109,-289.069525089,7.4975007577
-94.8157899542,-288.993507271,6.75812680803
-94.1819495351,-288.926550966,6.03012785837
-93.5387860989,-288.866291719,5.35252890868
-92.929265661,-288.816782087,4.643779959
-92.301912044,-288.774840764,3.82478100937
-91.6655188718,-288.739619262,3.16783205967
-91.0115488497,-288.711061933,2.50038310998
-90.3486809048,-288.689879463,1.83030916028
-89.6942024291,-288.677622387,1.07291021063
-89.0310077011,-288.673702939,0.338611260966
-88.3505933079,-288.678659703,-0.417387688689
-87.678919553,-288.692647009,-1.19298663833
-87.0161177094,-288.715805712,-2.00113558796
-86.3536897818,-288.747928136,-2.77620953761
-85.0288157298,-288.811796628,-2.75993348762
-84.3662204283,-288.840258459,-2.45963243776
-83.7033077525,-288.859991512,-1.7050313881
-83.0660077832,-288.869242094,-0.831605338499
-82.4544801171,-288.868711683,0.0496957110991
-81.8257859733,-288.860033616,0.790821760761
-81.1972365073,-288.843996033,1.46159781045
-80.586111687,-288.82179645,2.08039886017
-79.9752849653,-288.792520452,2.74399990987
-79.3562744748,-288.755092803,3.46010095954
-78.7549255574,-288.711667368,4.13035200924
-78.1283316394,-288.659593411,4.75072805895
-77.5022514237,-288.601669331,5.28587910871
-76.8939984698,-288.5384656,5.93233015841
-76.286376901,-288.469455478,6.47955620816
-75.6793693157,-288.395238507,6.97078225794
-75.0558801413,-288.314041926,7.41983330773
-74.4331272057,-288.227379265,7.9224343575
-73.8111275133,-288.135466165,8.40578540728
-73.164416567,-288.034188019,8.90051145706
-72.501703186,-287.923950765,9.44423750681
-71.8486613824,-287.808283085,10.0441385565
-71.1885681488,-287.683310286,10.7206896062
-70.5132740615,-287.546337223,11.4660156559
-69.8309451333,-287.400890546,12.0331917056
-69.1251634347,-287.241764025,12.7055427553
-68.4381622618,-287.077907262,13.414993805
-67.7867551078,-286.913560077,14.1599698547
-67.1458417602,-286.743052921,14.8977709043
-66.5238435113,-286.568672415,15.661121954
-65.8959648941,-286.38357581,16.4253480036
-65.2866040277,-286.196717151,17.0479990533
-64.6628775848,-285.99807769,17.6652251031
-64.0250130678,-285.787198256,18.2940011528
-63.414159866,-285.57708222,18.9817522025
-62.8302654574,-285.368175217,19.6863032521
-62.2409695528,-285.148944809,20.4062543018
-61.6625240354,-284.925392578,21.1300553515
-61.0952164223,-284.697076044,21.9226314011
-60.5309785971,-284.461275186,22.6805574508
-59.9854667094,-284.225454576,23.3784585004
-59.4352099521,-283.979032601,24.1243095501
-58.8956590483,-283.729875217,24.7868605998
-58.3436313615,-283.466755851,25.4844116495
-57.7951812308,-283.196258491,26.2526626991
-57.2092568134,-282.904393988,26.479113749
-56.1734819246,-282.376008505,27.0277397988
-55.6240564772,-282.088421136,27.6290408485
-55.085271474,-281.799151214,28.2310418982
-54.5568035499,-281.508930708,28.774417948
-54.0530676135,-281.227387856,29.2012439978
-53.5590346826,-280.946174173,29.6494200476
-53.0676306356,-280.660391502,30.1807210973
-52.5712974509,-280.365994422,30.6740471471
-52.0774180367,-280.067499202,31.1482981969
-51.6079397102,-279.778619151,31.6048742467
-51.1336050953,-279.481233684,32.0857752965
-50.6691099876,-279.18440734,32.5798013462
-50.2071143002,-278.883705547,33.059127396
-49.7401549963,-278.57486829,33.4798284458
-49.2830864371,-278.266728848,33.9864544956
-48.8283888407,-277.95510138,34.4248305454
-48.3974601561,-277.654530766,34.8955815952
-47.9685784913,-277.351046431,35.283907645
-47.5556814634,-277.054813618,35.6575336948
-47.1452221731,-276.755212206,36.1263597446
-46.7370061384,-276.452561411,36.5531857944
-46.3312334759,-276.146642498,37.0132618442
-45.9419047212,-275.847560492,37.531437894
-45.5617064224,-275.550755374,37.9776889438
-45.1975768378,-275.261388859,38.4734649936
-44.8825528551,-275.007155777,38.9044910434
-44.6152103109,-274.789845181,39.1060920933
-44.3472767096,-274.57326375,38.9499931433
-44.0985502722,-274.374029302,38.6953691935
-43.8292290908,-274.159175788,38.5814452435
-43.5460564033,-273.934063609,38.4834462936
-43.2626892448,-273.709196277,38.4339223436
-42.9862066896,-273.489777392,38.4377017882
-42.7164553083,-273.275464249,38.4665778382
-42.4533864576,-273.066586056,38.4497788882
-42.1835722521,-272.852352013,38.4497788882
-41.906878607,-272.632931094,38.4147799382
-41.6233258434,-272.40829785,38.3866059882
-41.3466650486,-272.188835514,38.4233570382
-41.0633093141,-271.963953786,38.4368330882
-40.7868379063,-271.744520855,38.4406125328
-40.490103202,-271.5087867,38.4645885828
-40.1937764707,-271.272539912,38.5636396327
-39.8842082992,-271.025268975,38.6164906827
-39.5751119681,-270.777408477,38.7256917326
-39.2527876978,-270.518508486,38.7724177826
-38.9037444703,-270.237857548,38.8012938326
-38.5613026712,-269.962741778,38.7781948826
-38.2120726618,-269.682323298,38.7631459326
-37.8558911178,-269.396805782,38.7158969826
-37.4861936653,-269.100607726,38.7013730327
-37.1166232318,-268.804517638,38.7002019214
-36.739943756,-268.503259281,38.6519029714
-36.356537861,-268.196621311,38.6519029714
-35.9598021034,-267.879337144,38.6493174156
-35.5630520282,-267.562070881,38.6467318602
-35.1662876362,-267.244822521,38.6441463045
-34.7762512911,-266.932684981,38.6695223545
-34.3931149849,-266.625710233,38.7022484044
-33.9898698781,-266.302508703,38.7122244544
-33.5796763035,-265.974204795,38.6725005045
-33.1894798663,-265.662267405,38.6401265545
-32.7860403791,-265.339308545,38.6777526045
-32.3826906779,-265.016237557,38.6936786544
-31.9730381637,-264.687258771,38.7668297044
-31.5703148386,-264.36340731,38.8046307544
-31.1609689808,-264.034047032,38.8202068044
-30.7581339178,-263.710334571,38.7848578544
-30.3613612348,-263.392829811,38.6674339045
-29.9569952335,-263.071031766,38.5130849545
-29.5457359651,-262.744063819,38.4861360045
-29.1345977394,-262.417211386,38.4828432269
-28.7299205487,-262.095804765,38.4576442769
-28.3184987383,-261.769041367,38.4576442769
-27.9067747033,-261.442658856,38.4046203269
-27.5013701571,-261.122170169,38.327796377
-27.0892088684,-260.796340003,38.327796377
-26.6906846778,-260.481305126,38.3252108216
-26.2850856364,-260.16106262,38.2930118716
-25.8524466589,-259.819470614,38.2930118716
-25.4194021364,-259.478392874,38.2249379216
-24.9925809925,-259.143334961,38.1321889717
-24.571890027,-258.814418428,38.0200150217
-24.1376283852,-258.474891684,38.0200150217
-23.703156317,-258.135634252,37.9844910717
-23.2618956226,-257.791075922,37.9844910717
-22.8477894326,-257.467721182,37.9844910717
-22.4402087539,-257.150004586,37.9370671218
-22.0187824761,-256.822030705,37.8917431718
-21.5830853745,-256.484347986,37.7771192218
-21.1672626629,-256.16320363,37.6792952719
-20.7510635855,-255.84254719,37.6120963219
-20.3275373952,-255.517289538,37.523372372
-19.8971801374,-255.186785794,37.523372372
-19.4873160822,-254.872020324,37.523372372
-19.0569588243,-254.541516581,37.523372372
-18.6402637016,-254.221505019,37.523372372
-18.2233917355,-253.901723862,37.491698422
-17.7996858027,-253.576700391,37.491698422
-17.3692639594,-253.246280763,37.512174472
-16.9526292905,-252.926464088,37.5088816943
-16.5228128759,-252.595257289,37.6170327443
-16.0931168971,-252.2641672,37.6130327444
-15.6636235419,-251.93254158,37.6728837944
-15.2406247865,-251.606598292,37.6161848444
-14.8036430393,-251.270579638,37.5586108945
-14.3533826694,-250.923570601,37.6209119444
-13.9373557073,-250.602963802,37.6176191665
-13.5076631172,-250.271869315,37.6136191666
-13.0645103392,-249.929747907,37.6687452166
-12.6283873368,-249.592615425,37.7047962666
-12.192493037,-249.255187295,37.7436473166
-11.7157336467,-248.886125278,37.7436473166
-11.273131103,-248.543292329,37.7607983665
-10.8372285707,-248.205874834,37.7422494166
-10.4147773338,-247.879222225,37.7123254666
-9.97869863753,-247.542032436,37.7123254666
-9.54293940802,-247.204429892,37.7665765165
-9.11410904729,-246.872219413,37.7625765167
-8.66525938284,-246.523387575,37.8532275667
-8.24345564564,-246.195899283,37.8257536167
-7.80129764097,-245.852493194,37.8350296667
-7.379290945,-245.525266479,37.7902307167
-6.95054473227,-245.192675471,37.8017817667
-6.5151654252,-244.854583113,37.8310078167
-6.0729833164,-244.511208062,37.8310078167
-5.63741717356,-244.17335644,37.7993338667
-5.20877681549,-243.840900842,37.7953338668
-4.78011324855,-243.50847517,37.7913338666
-4.35142647509,-243.176079425,37.7873338668
-3.92268376356,-242.843483903,37.8023849168
-3.50053064786,-242.516446105,37.7645859668
-3.09154050727,-242.200545947,37.6821620168
-2.65536980013,-241.863475187,37.6966880668
-2.23294714834,-241.536785613,37.7173391168
-1.79656240045,-241.199992004,37.6602901669
-1.37335768957,-240.874316173,37.5799662169
-0.963249946658,-240.559868269,37.4789922669
-0.53896136927,-240.235605756,37.388868317
-0.0941426993814,-239.895653122,37.388868317
0.343832606427,-239.560930528,37.388868317
0.774843648547,-239.231554203,37.3848683168
1.19915486283,-238.907321312,37.3848683168
1.63062256059,-238.578268551,37.3304443668
2.05550649031,-238.254786526,37.2835454168
2.48755742153,-237.926499934,37.2287714669
2.91973665845,-237.59838227,37.2063725169
3.33148095896,-237.286080372,37.1797735669
3.74310026345,-236.973613745,37.2026996169
4.1756970401,-236.64604677,37.1334006669
4.61583338284,-236.314170915,37.0173767169
5.02895293898,-236.003690518,36.926727767
5.45630228495,-235.683472607,36.844653817
5.89099017533,-235.358685704,36.7660798671
6.31886219541,-235.039166521,36.7510309171
6.74008735683,-234.7251417,36.7046569671
7.15428450584,-234.416100333,36.7274080171
7.5824500783,-234.096974626,36.6983590671
8.0108630934,-233.778181177,36.6539101171
8.4323202271,-233.464467759,36.6623111671
8.8604896807,-233.145347259,36.6976622171
9.27458672501,-232.836171771,36.7459632671
9.70926642529,-232.511652373,36.7419632665
10.1301625274,-232.197465129,36.7386704889
10.5508476802,-231.882717251,36.8030715389
10.9852254832,-231.557515747,36.8207475889
11.4200200967,-231.23287173,36.7472486389
11.8408023078,-230.91825362,36.7853996889
12.2614601008,-230.603747381,36.7821069109
12.6890229626,-230.283814617,36.8064329609
13.1162650892,-229.963453665,36.8638340109
13.5364919489,-229.648371868,36.8605412336
13.9569449152,-229.333313893,36.8453172836
14.3772735806,-229.018367919,36.842024506
14.8049572044,-228.698596607,36.784800556
15.232823393,-228.379069615,36.752076606
15.6466237869,-228.069497202,36.800902656
16.074022031,-227.749344558,36.835903706
16.501030769,-227.428672589,36.9055547559
16.9210280859,-227.113284881,36.9022619783
17.3342801823,-226.802980917,36.9022619783
17.7607464964,-226.481587922,37.0023630283
18.166451165,-226.175855644,36.9997774725
18.5792391159,-225.864934508,36.9878785225
18.9990381294,-225.549005699,36.9640795726
19.4260425249,-225.228327947,36.9063306226
19.8459862254,-224.912591485,36.9378316726
20.2658058056,-224.596967227,36.934538895
20.6790176699,-224.286609691,36.909689945
21.1061325207,-223.96607907,36.886590995
21.5262342021,-223.65083039,36.8832982187
21.9463539992,-223.335605853,36.8800054394
22.3735056882,-223.015124328,36.8800054394
22.7936436016,-222.699923935,36.8767126638
23.2137273298,-222.384373804,36.9124137138
23.6197953171,-222.078847005,36.9579147638
24.032598667,-221.767946314,36.9850408138
24.452818233,-221.452577102,36.8877418638
24.8735506446,-221.137892398,36.7944679139
25.2876607434,-220.828734395,36.7435439639
25.7018539166,-220.5196877,36.7281450139
26.1370558789,-220.195589958,36.6752960639
26.5656545924,-219.877046212,36.6205221139
26.9943943328,-219.558692308,36.595148164
27.4235372508,-219.240882098,36.522524214
27.8596817054,-218.9180538,36.508350264
28.2610126242,-218.620578273,36.546676314
28.6629822531,-218.323966388,36.423477364
29.0998316386,-218.002092641,36.3830534141
29.5367419633,-217.680301617,36.3722044641
29.9530032939,-217.374046252,36.3429805141
30.3622082433,-217.072733882,36.3655565641
30.7925294856,-216.756520974,36.3095576141
31.2165894157,-216.446334899,36.1842586641
31.640972175,-216.136590656,36.1245847142
32.0726761703,-215.822268153,36.0582607642
32.4979398695,-215.513734507,35.9613118142
32.9236686056,-215.205842857,35.8748628643
33.3355672277,-214.908223369,35.8501889143
33.754771413,-214.606008716,35.7887649643
34.1741020141,-214.303969496,35.7647910143
34.6004214601,-213.996896288,35.7647910143
35.0198664201,-213.695015897,35.7430920643
35.4324167111,-213.39830039,35.7245431144
35.8517436068,-213.096256023,35.7654941643
36.2844438152,-212.783306341,35.8762702143
36.7377863247,-212.454806702,35.9277212643
37.1562563333,-212.151576266,35.9277212643
37.5882797351,-211.837692923,35.9999973142
38.0274698965,-211.519020525,35.9642983642
38.4737183199,-211.195409759,35.9488994143
38.8918648359,-210.891733394,35.9888004642
39.3168545007,-210.583105886,35.9855076883
39.7490377504,-210.269442671,35.9708087383
40.1883775535,-209.95097661,35.9373847883
40.6137700596,-209.642620583,35.9373847883
41.0533684499,-209.324511561,35.8908358384
41.4792135023,-209.016780808,35.8532118884
41.9188967157,-208.69907347,35.8492118878
42.3514732159,-208.385952813,35.8989129378
42.7838296374,-208.072528344,35.9391639878
43.2090865129,-207.764269128,35.9358712119
43.64154229,-207.450981761,35.9209972619
44.0668883017,-207.142561601,35.9460233119
44.499101847,-206.828940133,35.9652743619
44.917373021,-206.525435487,35.9652743619
45.3357294572,-206.222048378,35.9491754119
45.7678673042,-205.908322615,35.9791014619
46.1929092072,-205.599767054,35.975808686
46.6387581963,-205.275606196,36.0195597359
47.063582113,-204.966750577,36.01626696
47.4958058193,-204.653143113,35.96341801
47.9838003266,-204.29907017,35.96341801
48.4158179955,-203.985178933,36.00104406
48.8407416984,-203.676460617,35.9977512807
49.2865021705,-203.352178047,36.0352023307
49.6976493337,-203.053521311,35.9946033807
50.1294375567,-202.739314526,36.0429044307
50.568066511,-202.420153246,36.0389044336
51.0068413487,-202.10090924,36.0389044336
51.7809571658,-201.539858835,35.9332054836
52.1926908386,-201.242011196,35.8819315336
52.6322147465,-200.924083505,35.8779315365
53.08647505,-200.596854199,35.7673325866
53.5127808742,-200.28976208,35.7673325866
54.0022628923,-199.937748384,35.7220086366
54.4362331746,-199.626562316,35.6430846866
54.8632039347,-199.320395378,35.6430846866
55.2900480725,-199.014337809,35.6397919111
55.7241692452,-198.703362279,35.6152929611
56.1443572706,-198.402517021,35.6018190111
56.5648409664,-198.102085153,35.5454700611
56.9922440714,-197.796522052,35.5620961111
57.4197236884,-197.491065997,35.5477471611
